PARK,BOROUGH,QUARTER,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
COURTNEY CALLENDER PLAYGROUND,MANHATTAN,1,0.653,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BRIZZI PLAYGROUND,BROOKLYN,1,0.649,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
AUGUSTUS ST. GAUDENS PLAYGROUND,MANHATTAN,1,0.642,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
VESUVIO PLAYGROUND,MANHATTAN,1,0.635,BASKETBALL & POOL LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SQUIBB PARK,BROOKLYN,1,0.626,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
VETERANS GROVE,QUEENS,1,0.626,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ELTON PLAYGROUND,BROOKLYN,1,0.622,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TWENTY-FOUR SYCAMORES PARK,MANHATTAN,1,0.622,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
EAST RIVER ESPLANADE AT E 36TH ST AND FDR,MANHATTAN,1,0.62,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CEDAR GROVE PLAYGROUND,QUEENS,1,0.619,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CLEOPATRA PLAYGROUND,BRONX,1,0.618,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BEACH 59TH ST PLAYGROUND,QUEENS,1,0.618,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BRIDGE PLAYGROUND,BRONX,1,0.61,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HALF-NELSON PLAYGROUND,BRONX,1,0.61,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HENRY M. JACKSON PLAYGROUND,MANHATTAN,1,0.61,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WILLIAM F. PASSANNANTE BALLFIELD,MANHATTAN,1,0.607,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DR. RONALD E. MCNAIR PLAYGROUND,MANHATTAN,1,0.603,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PENN SOUTH PLAYGROUND,MANHATTAN,1,0.6,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
O'NEILL TRIANGLE,BRONX,1,0.593,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GEORGE WALKER JR. PARK,BROOKLYN,1,0.591,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
UNDERHILL PLAYGROUND,BROOKLYN,1,0.59,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PETER DETMOLD PARK,MANHATTAN,1,0.588,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
COBBLE HILL PARK,BROOKLYN,1,0.585,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WRIGHT BROTHERS PLAYGROUND,MANHATTAN,1,0.584,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MERCER PLAYGROUND,MANHATTAN,1,0.582,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SEAN'S PLACE,QUEENS,1,0.582,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HARVARD PLAYGROUND,QUEENS,1,0.581,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SARSFIELD PLAYGROUND,BROOKLYN,1,0.579,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HELL'S KITCHEN PARK,MANHATTAN,1,0.576,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BENNINGER PLAYGROUND,QUEENS,1,0.574,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RORY STAUNTON FIELD,QUEENS,1,0.574,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CARMANSVILLE PLAYGROUND,MANHATTAN,1,0.573,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SIXTEEN SYCAMORES PLAYGROUND,BROOKLYN,1,0.567,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GALAPO PLAYGROUND,BROOKLYN,1,0.565,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MCKINLEY PLAYGROUND,MANHATTAN,1,0.563,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ENNIS PLAYGROUND,BROOKLYN,1,0.554,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GUTENBERG PLAYGROUND,MANHATTAN,1,0.551,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BLAND PLAYGROUND,QUEENS,1,0.551,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PFC NORTON PLAYGROUND,BROOKLYN,1,0.55,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LITTLE CLAREMONT PARK,BRONX,1,0.549,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
JUNCTION PLAYGROUND,QUEENS,1,0.54,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,1,0,1
WOODRUFF PLAYGROUND,BROOKLYN,1,0.536,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ABIGAIL PLAYGROUND,BRONX,1,0.529,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DR. GERTRUDE B. KELLY PLAYGROUND,MANHATTAN,1,0.525,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WALD PLAYGROUND,MANHATTAN,1,0.525,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ANDREWS GROVE,QUEENS,1,0.518,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LAFAYETTE PLAYGROUND ON LAFAYETTE AVENUE,BROOKLYN,1,0.517,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ANIBAL AVILES PLAYGROUND,MANHATTAN,1,0.517,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WASHINGTON PARK BRONX,BRONX,1,0.516,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PAT WILLIAMS PLAYGROUND,QUEENS,1,0.514,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GREENPOINT PLAYGROUND,BROOKLYN,1,0.504,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PIERREPONT PLAYGROUND,BROOKLYN,1,0.503,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
EPIPHANY PLAYGROUND,BROOKLYN,1,0.5,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
JOHN ADAMS PLAYGROUND,QUEENS,1,0.494,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LEVY PLAYGROUND,STATEN ISLAND,1,0.49,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CLEMENT CLARKE MOORE PARK,MANHATTAN,1,0.489,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CHARLTON GARDEN,BRONX,1,0.488,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
THOMAS J. CUITE PARK,BROOKLYN,1,0.487,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CHERRY CLINTON PLAYGROUND,MANHATTAN,1,0.483,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HILTON WHITE PLAYGROUND,BRONX,1,0.477,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MILESTONE PARK,BROOKLYN,1,0.476,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TURTLE PLAYGROUND,QUEENS,1,0.476,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MATTHEWS - PALMER PLAYGROUND,MANHATTAN,1,0.475,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
FAIRMOUNT PLAYGROUND,BRONX,1,0.47,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MOTHER CABRINI PARK,BROOKLYN,1,0.467,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
VIRGINIA PLAYGROUND,BRONX,1,0.461,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RAINBOW PLAYGROUND,BROOKLYN,1,0.46,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TEN EYCK PLAZA,BROOKLYN,1,0.46,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND C,QUEENS,1,0.46,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND D,QUEENS,1,0.46,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND E,QUEENS,1,0.46,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
UNDERBRIDGE DOG RUN,QUEENS,1,0.457,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WILLIAM MCCRAY PLAYGROUND,MANHATTAN,1,0.456,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LOUIS ARMSTRONG COMMUNITY CENTER,QUEENS,1,0.452,RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ABC PLAYGROUND,MANHATTAN,1,0.451,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MIDDLE VILLAGE PLAYGROUND,QUEENS,1,0.448,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
YAK PLAYGROUND,BROOKLYN,1,0.444,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HAVEMEYER PLAYGROUND,BRONX,1,0.442,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BUTTERFLY GARDENS,BROOKLYN,1,0.442,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PLAYGROUND ONE,MANHATTAN,1,0.44,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GARIBALDI PLAYGROUND,BROOKLYN,1,0.437,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MORRIS GARDEN,BRONX,1,0.436,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MCCAFFREY PLAYGROUND,MANHATTAN,1,0.436,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ADMIRAL TRIANGLE,BROOKLYN,1,0.433,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HORSESHOE PLAYGROUND,BRONX,1,0.432,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HUNTS POINT RIVERSIDE PARK,BRONX,1,0.426,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TOMPKINSVILLE PARK,STATEN ISLAND,1,0.424,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WEST 4TH STREET COURTS,MANHATTAN,1,0.42,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MOSHOLU PLAYGROUND,BRONX,1,0.412,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LIOTTI IKEFUGI PLAYGROUND,STATEN ISLAND,1,0.408,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
JOSEPH C. SAUER PARK,MANHATTAN,1,0.403,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PLAYGROUND EIGHTY NINE LXXXIX,MANHATTAN,1,0.402,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
VAN NEST PARK,BRONX,1,0.401,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
JOSEPHINE CAMINITI PLAYGROUND,QUEENS,1,0.398,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RODNEY PARK SOUTH,BROOKLYN,1,0.392,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
IMAGINATION PLAYGROUND,MANHATTAN,1,0.385,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CHELSEA RECREATION CENTER,MANHATTAN,1,0.385,RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HINES PARK,BRONX,1,0.383,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GOBLE PLAYGROUND,BRONX,1,0.381,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GRAND PLAYGROUND,BRONX,1,0.381,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RODNEY PARK NORTH,BROOKLYN,1,0.37,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ST. MARY'S PARK PLAYGROUND BROOKLYN,BROOKLYN,1,0.367,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MARCY PARK SOUTH,BROOKLYN,1,0.357,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BLEECKER PLAYGROUND,MANHATTAN,1,0.356,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MCLAUGHLIN PLAYGROUND,QUEENS,1,0.356,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HARLEM ART PARK,MANHATTAN,1,0.347,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
VINCENT F. ALBANO JR. PLAYGROUND,MANHATTAN,1,0.346,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
JEROME PLAYGROUND SOUTH,BRONX,1,0.345,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ST. MARY'S PARK BROOKLYN,BROOKLYN,1,0.345,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WALTON PARK,BRONX,1,0.344,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
REV LENA IRONS UNITY PARK,BRONX,1,0.342,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SUTTON PLACE PARK,MANHATTAN,1,0.342,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
KINGSBRIDGE HEIGHTS COMMUNITY CENTER,BRONX,1,0.329,RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MACARTHUR PARK,MANHATTAN,1,0.329,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SLEDGE PLAYGROUND,BROOKLYN,1,0.328,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BERRY PLAYGROUND,BROOKLYN,1,0.327,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
FREEDOM SQUARE PLAYGROUND,QUEENS,1,0.327,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LONG ISLAND MEWS,QUEENS,1,0.323,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BLACK ROCK PLAYGROUND,BRONX,1,0.322,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HOT SPOT TOT LOT,BROOKLYN,1,0.322,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RODNEY PLAYGROUND SOUTH,BROOKLYN,1,0.319,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BRIDGE AND TUNNEL PARK,QUEENS,1,0.318,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
STOP & GO PLAYGROUND,BRONX,1,0.316,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MACLAUGHLIN PLAYGROUND,BRONX,1,0.304,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HARRY CHAPIN PLAYGROUND,BROOKLYN,1,0.3,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ANNADALE GREEN,STATEN ISLAND,1,0.3,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WEEKSVILLE PLAYGROUND,BROOKLYN,1,0.295,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DODGER PLAYGROUND,BROOKLYN,1,0.293,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RODNEY PLAYGROUND NORTH,BROOKLYN,1,0.29,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ELIZABETH STROUD PLAYGROUND,BROOKLYN,1,0.29,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
HANSBOROUGH RECREATION CENTER,MANHATTAN,1,0.29,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
A.R.R.O.W. FIELD HOUSE,QUEENS,1,0.29,BASKETBALL & REC CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
JENNIE JEROME PLAYGROUND,BRONX,1,0.287,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PLAYGROUND 115,QUEENS,1,0.287,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MARINERS HARBOR PLAYGROUND,STATEN ISLAND,1,0.271,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
YOUTH VILLAGE,BRONX,1,0.27,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BEANSTALK PLAYGROUND,BRONX,1,0.267,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DESALVIO PLAYGROUND,MANHATTAN,1,0.266,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DAN ROSS PLAYGROUND,BROOKLYN,1,0.256,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DREAM STREET PARK,MANHATTAN,1,0.252,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SIDNEY HILLMAN PLAYGROUND,MANHATTAN,1,0.245,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SUNSHINE PLAYGROUND,MANHATTAN,1,0.24,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RODNEY PARK CENTER,BROOKLYN,1,0.237,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ST. GREGORY'S PLAYGROUND,MANHATTAN,1,0.231,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SORRENTINO RECREATION CENTER,QUEENS,1,0.231,RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
UMMA PARK,BROOKLYN,1,0.23,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WILLIAM F MOORE PARK,QUEENS,1,0.23,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
OGDEN PLIMPTON PLAYGROUND,BRONX,1,0.229,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MARY O'CONNOR PLAYGROUND,MANHATTAN,1,0.229,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GENE GRAY PLAYGROUND,QUEENS,1,0.229,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DOWNING STREET PLAYGROUND,MANHATTAN,1,0.223,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PLAYGROUND THIRTY FIVE XXXV,QUEENS,1,0.218,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ROLF HENRY PLAYGROUND,BROOKLYN,1,0.213,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
P.S. 125 PLAYGROUND,BROOKLYN,1,0.208,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TONY DAPOLITO RECREATION CENTER,MANHATTAN,1,0.208,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DAVIDSON PLAYGROUND,BRONX,1,0.207,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ASTORIA HEALTH PLAYGROUND,QUEENS,1,0.207,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CHIARANTANO PLAYGROUND,BROOKLYN,1,0.206,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MINETTA PLAYGROUND,MANHATTAN,1,0.206,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CORONA MAC PARK,QUEENS,1,0.205,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
THORPE FAMILY PLAYGROUND,BRONX,1,0.201,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SUNNERS PLAYGROUND,BROOKLYN,1,0.197,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
TUDOR GROVE PLAYGROUND,MANHATTAN,1,0.192,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RODNEY PLAYGROUND CENTER,BROOKLYN,1,0.189,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SEABURY PARK,BRONX,1,0.186,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
EAE J MITCHELL PARK,BRONX,1,0.183,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PENN TRIANGLE,BROOKLYN,1,0.183,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
METROPOLITAN RECREATION CENTER,BROOKLYN,1,0.181,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RAMON APONTE PARK,MANHATTAN,1,0.174,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
FIELD OF DREAMS PARK,BRONX,1,0.172,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BILL BOJANGLES ROBINSON PLAYGROUND,MANHATTAN,1,0.172,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
RECREATION CENTER 54,MANHATTAN,1,0.17,POOL & RECREATION CENTER LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PEARL ST PLAYGROUND,MANHATTAN,1,0.162,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LEWIS PLAYGROUND,BROOKLYN,1,0.161,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
NORTH PACIFIC PLAYGROUND,BROOKLYN,1,0.155,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MORRIS MESA,BRONX,1,0.15,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PEACE PARK,BRONX,1,0.141,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
DUKE PARK,BROOKLYN,1,0.137,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SOBEL PLAYGROUND,BROOKLYN,1,0.135,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CAPTAIN JACOB JOSEPH PLAYGROUND,MANHATTAN,1,0.135,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
GRAND CANAL COURT,MANHATTAN,1,0.134,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
LT. FEDERICO NARVAEZ TOT LOT,BROOKLYN,1,0.125,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
WEST 186TH STREET BASKETBALL COURT,MANHATTAN,1,0.123,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
SOPHIE IRENE LOEB,MANHATTAN,1,0.122,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,1,0,1
BARRETTO PARK,BRONX,1,0.12,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ABYSSINIAN TOT LOT,MANHATTAN,1,0.118,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ALEXANDER'S ALLEY,BRONX,1,0.11,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
EAST FLATBUSH CHILDREN'S PARK,BROOKLYN,1,0.106,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
CORONA HEALTH SANCTUARY,QUEENS,1,0.101,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
MOHEGAN TRIANGLE,BRONX,1,0.096,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PLAYGROUND OF THE AMERICAS,MANHATTAN,1,0.079,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PRIVATE WILLIAM GRAY PARK,QUEENS,1,0.069,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ADRIENNE'S PLAYGROUND,MANHATTAN,1,0,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
PELHAM BAY PARK,BRONX,2,2771.75,ONE ACRE OR LARGER,0,0,0,1,0,2,0,3
VAN CORTLANDT PARK,BRONX,2,1146.43,ONE ACRE OR LARGER,0,0,1,4,0,1,0,6
ROCKAWAY BEACH AND BOARDWALK,QUEENS,2,1072.56,ONE ACRE OR LARGER,0,0,0,0,0,2,0,2
FRESHKILLS PARK,STATEN ISLAND,2,913.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
